model,fold,mae_all,mae_peak,pinball_p90,composite,window,feature_set,n_features
ridge_direct,fold3,140.47977874734988,131.30761593557298,33.86630913078503,116.40543598050385,from_2025_09_24,all,80
ridge_direct,fold4,301.75893124071575,234.08650234920964,46.998470694182075,230.50511046395718,from_2025_09_24,all,80
hgb_resid,fold1,161.51301833403954,376.9511160289314,96.5315633392033,213.14815664353986,from_2025_09_24,all,80
hgb_resid,fold2,152.10525334763355,159.71176566118805,52.61593206853782,134.48934278588075,from_2025_09_24,all,80
hgb_resid,fold3,157.5190021530665,257.5003578400361,85.21286597132045,173.05218162280818,from_2025_09_24,all,80
hgb_resid,fold4,134.9332231042988,96.63686416242365,23.053469942038046,101.0683647892841,from_2025_09_24,all,80
xgb_resid,fold1,165.04198108116785,322.7927147360409,103.31469751491434,200.02174446437908,from_2025_09_24,all,80
xgb_resid,fold2,145.97443498152174,167.95944842170266,57.53009492612931,134.88107100249752,from_2025_09_24,all,80
xgb_resid,fold3,145.66801146914563,255.34017854578354,79.16288646311989,165.26863659093183,from_2025_09_24,all,80
xgb_resid,fold4,125.32488702193257,177.13376393037683,40.35668729872753,123.87391014982484,from_2025_09_24,all,80
xgb_direct,fold1,269.4315443493071,530.5327866498162,223.5456906491234,338.5847462994231,from_2025_09_24,all,80
xgb_direct,fold2,164.5360834030878,202.48703900505515,74.46068409511021,157.90629022208248,from_2025_09_24,all,80
xgb_direct,fold3,146.2240520658947,245.8853759765625,104.0261835030147,167.68287552651904,from_2025_09_24,all,80
xgb_direct,fold4,169.801877339681,52.30936207490809,30.876521229971022,106.76905153830714,from_2025_09_24,all,80
rf_resid,fold1,177.74282722445815,327.40949276620506,107.95755473886213,208.68577238986305,from_2025_09_24,all,80
rf_resid,fold2,174.47220519949747,124.5500852119693,52.70500823620759,135.14212981058105,from_2025_09_24,all,80
rf_resid,fold3,169.05722626149293,264.1314036614737,89.52942804387307,181.67391983796318,from_2025_09_24,all,80
rf_resid,fold4,306.5633060544229,147.85397210076584,130.16427676195562,223.67070000983233,from_2025_09_24,all,80
ridge_resid,fold1,583.9640775417427,933.9275324326985,368.8990467957864,645.9401078598382,from_2025_10_01,core,42
ridge_resid,fold2,129.62355092806752,227.70453343083742,26.972376789059375,138.51761085109683,from_2025_10_01,core,42
ridge_resid,fold3,127.92509545645113,251.11317958924332,41.7432576690169,147.64515313880193,from_2025_10_01,core,42
ridge_resid,fold4,278.60140782105674,150.07901055637606,46.798971036110814,193.68420128466335,from_2025_10_01,core,42
ridge_direct,fold1,464.0028428080285,804.7222013649745,264.8121206450433,526.3805059425152,from_2025_10_01,core,42
ridge_direct,fold2,128.83616067472389,230.60924997913366,26.97020416862076,138.99489616482617,from_2025_10_01,core,42
ridge_direct,fold3,125.18590754629973,248.00824840840934,41.78815381028038,145.35305905772873,from_2025_10_01,core,42
ridge_direct,fold4,266.8011906707393,143.4726861103533,45.42218950321505,185.52683906911864,from_2025_10_01,core,42
hgb_resid,fold1,183.53751715577104,358.2011348734545,110.34571669291766,221.29824237850542,from_2025_10_01,core,42
hgb_resid,fold2,156.92451467784198,225.21920243318323,68.51534106556821,159.7310862819896,from_2025_10_01,core,42
hgb_resid,fold3,164.03832029099433,238.92978279023774,108.01247201843424,175.30058938625533,from_2025_10_01,core,42
hgb_resid,fold4,147.3397368156969,38.838603411995074,23.515301010073216,90.02450963346162,from_2025_10_01,core,42
xgb_resid,fold1,197.33247731484119,383.9893116670496,126.43666928912911,239.1503660153613,from_2025_10_01,core,42
xgb_resid,fold2,160.80265921638124,202.8062136033002,72.42662615970487,155.72851892112166,from_2025_10_01,core,42
xgb_resid,fold3,145.16880876393546,254.74480752383963,99.07225420268163,168.82229747965596,from_2025_10_01,core,42
xgb_resid,fold4,156.2588581371875,58.51821405747358,25.88856123226029,100.86260553228789,from_2025_10_01,core,42
xgb_direct,fold1,304.50697326660156,602.4847627527573,250.75097813424614,383.14911108597715,from_2025_10_01,core,42
xgb_direct,fold2,182.5494384765625,331.5396513097426,106.33889896120343,212.0043944234447,from_2025_10_01,core,42
xgb_direct,fold3,171.66945957002184,243.26796587775735,115.95150151388985,182.00541985111607,from_2025_10_01,core,42
xgb_direct,fold4,123.87408628917876,130.65278535730698,48.76956647146316,110.8867920460741,from_2025_10_01,core,42
rf_resid,fold1,192.84863593300793,319.4987627041978,99.84671114838065,212.24328900743942,from_2025_10_01,core,42
rf_resid,fold2,153.53998225390916,174.66629062519016,59.45629690221344,141.0611376949543,from_2025_10_01,core,42
rf_resid,fold3,130.90126063199756,215.8797118671067,80.4891642555626,146.3123767272433,from_2025_10_01,core,42
rf_resid,fold4,211.19651582548354,125.51528824860259,52.52315619382816,153.75747562608817,from_2025_10_01,core,42
ridge_resid,fold1,348.23676526534064,664.2836835088777,181.1096550689107,409.62541869911576,from_2025_10_01,no_weather,71
